sumatran_A,sumatran,-,-
swazi_A,swazi,-,-
swede_A,swede,-,-
swedish_A,swedish,-,-
swiss_A,swiss,-,-
syrian_A,syrian,-,-
tahitian_A,tahitian,-,-
taiwanese_A,taiwanese,-,-
tamil_A,tamil,-,-
tanzanian_A,tanzanian,-,-
terpsichorean_A,terpsichorean,-,-
teutonic_A,teutonic,-,-
texan_A,texan,-,-
thai_A,thai,-,-
thespian_A,thespian,-,-
tibetan_A,tibetan,-,-
tobagonian_A,tobagonian,-,-
togolese_A,togolese,-,-
tongan_A,tongan,-,-
trinidadian_A,trinidadian,-,-
trojan_A,trojan,-,-
tswana_A,tswana,-,-
tunisian_A,tunisian,-,-
turkish_A,turkish,-,-
ugandan_A,ugandan,-,-
unitarian_A,unitarian,-,-
urdu_A,urdu,-,-
uruguayan_A,uruguayan,-,-
utopian_A,utopian,-,-
venetian_A,venetian,-,-
venezuelan_A,venezuelan,-,-
verey_A,verey,-,-
very_A,very,-,-
victorian_A,victorian,-,-
vietnamese_A,vietnamese,-,-
welsh_A,welsh,-,-
wesleyan_A,wesleyan,-,-
yemeni_A,yemeni,-,-
yugoslav_A,yugoslav,-,-
yugoslavian_A,yugoslavian,-,-
zairean_A,zairean,-,-
zambian_A,zambian,-,-
zealander_A,zealander,-,-
zimbabwean_A,zimbabwean,-,-
zionist_A,zionist,-,-
abandoned_A,abandoned,-,-
abdominal_A,abdominal,-,-
aberrant_A,aberrant,-,-
abhorrent_A,abhorrent,-,-
abiding_A,abiding,-,-
abject_A,abject,-,-
ablative_A,ablative,-,-
ablaze_A,ablaze,-,-
able_A,able,abler,ablest
abnormal_A,abnormal,-,-
abominable_A,abominable,-,-
aboriginal_A,aboriginal,-,-
abortive_A,abortive,-,-
abrasive_A,abrasive,-,-
abrupt_A,abrupt,-,-
absent_A,absent,-,-
absolute_A,absolute,-,-
absorbent_A,absorbent,-,-
abstemious_A,abstemious,-,-
abstract_A,abstract,-,-
abstracted_A,abstracted,-,-
abstruse_A,abstruse,-,-
absurd_A,absurd,-,-
abundant_A,abundant,-,-
abusive_A,abusive,-,-
abysmal_A,abysmal,-,-
academic_A,academic,-,-
accelerando_A,accelerando,-,-
acceptable_A,acceptable,-,-
accessible_A,accessible,-,-
accidental_A,accidental,-,-
accommodating_A,accommodating,-,-
accomplished_A,accomplished,-,-
accountable_A,accountable,-,-
accredited_A,accredited,-,-
accumulative_A,accumulative,-,-
accurate_A,accurate,-,-
accursed_A,accursed,-,-
accurst_A,accurst,-,-
accusative_A,accusative,-,-
accustomed_A,accustomed,-,-
acetic_A,acetic,-,-
achievable_A,achievable,-,-
acid_A,acid,-,-
acidic_A,acidic,-,-
acidulated_A,acidulated,-,-
acidulous_A,acidulous,-,-
acoustic_A,acoustic,-,-
acquiescent_A,acquiescent,-,-
acquisitive_A,acquisitive,-,-
acrid_A,acrid,-,-
acrimonious_A,acrimonious,-,-
acrobatic_A,acrobatic,-,-
acting_A,acting,-,-
actinic_A,actinic,-,-
actionable_A,actionable,-,-
active_A,active,-,-
actual_A,actual,-,-
actuarial_A,actuarial,-,-
acute_A,acute,-,-
adagio_A,adagio,-,-
adamant_A,adamant,-,-
adamantine_A,adamantine,-,-
adaptable_A,adaptable,-,-
addictive_A,addictive,-,-
additional_A,additional,-,-
addle_A,addle,-,-
adenoidal_A,adenoidal,-,-
adept_A,adept,-,-
adequate_A,adequate,-,-
adhesive_A,adhesive,-,-
adipose_A,adipose,-,-
adjacent_A,adjacent,-,-
adjectival_A,adjectival,-,-
adjoining_A,adjoining,-,-
adjustable_A,adjustable,-,-
administrative_A,administrative,-,-
admirable_A,admirable,-,-
admiring_A,admiring,-,-
admissible_A,admissible,-,-
admonitory_A,admonitory,-,-
adolescent_A,adolescent,-,-
adoptive_A,adoptive,-,-
adorable_A,adorable,-,-
adoring_A,adoring,-,-
adrenal_A,adrenal,-,-
adrift_A,adrift,-,-
adroit_A,adroit,-,-
adult_A,adult,-,-
adulterous_A,adulterous,-,-
advanced_A,advanced,-,-
advantageous_A,advantageous,-,-
adventitious_A,adventitious,-,-
adventuresome_A,adventuresome,-,-
adventurous_A,adventurous,-,-
adverbial_A,adverbial,-,-
adverse_A,adverse,-,-
advisable_A,advisable,-,-
advised_A,advised,-,-
advisory_A,advisory,-,-
aerial_A,aerial,-,-
aerodynamic_A,aerodynamic,-,-
aesthetic_A,aesthetic,-,-
aesthetical_A,aesthetical,-,-
affable_A,affable,-,-
affected_A,affected,-,-
affecting_A,affecting,-,-
affectionate_A,affectionate,-,-
affirmative_A,affirmative,-,-
affluent_A,affluent,-,-
afire_A,afire,-,-
aflame_A,aflame,-,-
afloat_A,afloat,-,-
afoot_A,afoot,-,-
aforesaid_A,aforesaid,-,-
afraid_A,afraid,-,-
after_A,after,-,-
agape_A,agape,-,-
aged_A,aged,-,-
aged_A,aged,-,-
ageless_A,ageless,-,-
agglomerate_A,agglomerate,-,-
agglutinative_A,agglutinative,-,-
aggressive_A,aggressive,-,-
aghast_A,aghast,-,-
agile_A,agile,-,-
agitated_A,agitated,-,-
agitating_A,agitating,-,-
aglow_A,aglow,-,-
agnostic_A,agnostic,-,-
agog_A,agog,-,-
agonized_A,agonized,-,-
agonizing_A,agonizing,-,-
agrarian_A,agrarian,-,-
agreeable_A,agreeable,-,-
agricultural_A,agricultural,-,-
aground_A,aground,-,-
aimless_A,aimless,-,-
airborne_A,airborne,-,-
airless_A,airless,-,-
airtight_A,airtight,-,-
airworthy_A,airworthy,-,-
airy_A,airy,-,-
ajar_A,ajar,-,-
akin_A,akin,-,-
alabaster_A,alabaster,-,-
alarming_A,alarming,-,-
alcoholic_A,alcoholic,-,-
aldermanic_A,aldermanic,-,-
alee_A,alee,-,-
alert_A,alert,-,-
alexic_A,alexic,-,-
alfresco_A,alfresco,-,-
algebraic_A,algebraic,-,-
algebraical_A,algebraical,-,-
alien_A,alien,-,-
alight_A,alight,-,-
alike_A,alike,-,-
alimentary_A,alimentary,-,-
alive_A,alive,-,-
alkaline_A,alkaline,-,-
all_A,all,-,-
allegoric_A,allegoric,-,-
