aakkosellinen, aakkosellisen, aakkosellista, aakkosellisena, aakkoselliseen, aakkosellisten, aakkosellisia, aakkosellisina, aakkosellisissa, aakkosellisiin
 aatteellinen, aatteellisen, aatteellista, aatteellisena, aatteelliseen, aatteellisten, aatteellisia, aatteellisina, aatteellisissa, aatteellisiin
 absoluuttinen, absoluuttisen, absoluuttista, absoluuttisena, absoluuttiseen, absoluuttisten, absoluuttisia, absoluuttisina, absoluuttisissa, absoluuttisiin
 abstrakti, abstraktin, abstraktia, abstraktina, abstraktiin, abstraktien, abstrakteja, abstrakteina, abstrakteissa, abstrakteihin
 abstraktinen, abstraktisen, abstraktista, abstraktisena, abstraktiseen, abstraktisten, abstraktisia, abstraktisina, abstraktisissa, abstraktisiin
 absurdi, absurdin, absurdia, absurdina, absurdiin, absurdien, absurdeja, absurdeina, absurdeissa, absurdeihin
 adjektiivinen, adjektiivisen, adjektiivista, adjektiivisena, adjektiiviseen, adjektiivisten, adjektiivisia, adjektiivisina, adjektiivisissa, adjektiivisiin
 adverbiaalinen, adverbiaalisen, adverbiaalista, adverbiaalisena, adverbiaaliseen, adverbiaalisten, adverbiaalisia, adverbiaalisina, adverbiaalisissa, adverbiaalisiin
 adverbinen, adverbisen, adverbista, adverbisena, adverbiseen, adverbisten, adverbisia, adverbisina, adverbisissa, adverbisiin
 adversatiivinen, adversatiivisen, adversatiivista, adversatiivisena, adversatiiviseen, adversatiivisten, adversatiivisia, adversatiivisina, adversatiivisissa, adversatiivisiin
 affektiivinen, affektiivisen, affektiivista, affektiivisena, affektiiviseen, affektiivisten, affektiivisia, affektiivisina, affektiivisissa, affektiivisiin
 affektinen, affektisen, affektista, affektisena, affektiseen, affektisten, affektisia, affektisina, affektisissa, affektisiin
 aggressiivinen, aggressiivisen, aggressiivista, aggressiivisena, aggressiiviseen, aggressiivisten, aggressiivisia, aggressiivisina, aggressiivisissa, aggressiivisiin
 agnostinen, agnostisen, agnostista, agnostisena, agnostiseen, agnostisten, agnostisia, agnostisina, agnostisissa, agnostisiin
 ahdistunut, ahdistuneen, ahdistunutta, ahdistuneena, ahdistuneeseen, ahdistuneiden, ahdistuneita, ahdistuneina, ahdistuneissa, ahdistuneisiin
 ahkera, ahkeran, ahkeraa, ahkerana, ahkeraan, ahkerien, ahkeria, ahkerina, ahkerissa, ahkeriin
 ahnas, ahnaan, ahnasta, ahnaana, ahnaaseen, ahnaiden, ahnaita, ahnaina, ahnaissa, ahnaisiin
 ahne, ahneen, ahnetta, ahneena, ahneeseen, ahneiden, ahneita, ahneina, ahneissa, ahneisiin
 aiheellinen, aiheellisen, aiheellista, aiheellisena, aiheelliseen, aiheellisten, aiheellisia, aiheellisina, aiheellisissa, aiheellisiin
 aistikas, aistikkaan, aistikasta, aistikkaana, aistikkaaseen, aistikkaiden, aistikkaita, aistikkaina, aistikkaissa, aistikkaisiin
 aistillinen, aistillisen, aistillista, aistillisena, aistilliseen, aistillisten, aistillisia, aistillisina, aistillisissa, aistillisiin
 ajallinen, ajallisen, ajallista, ajallisena, ajalliseen, ajallisten, ajallisia, ajallisina, ajallisissa, ajallisiin
 ajatuksellinen, ajatuksellisen, ajatuksellista, ajatuksellisena, ajatukselliseen, ajatuksellisten, ajatuksellisia, ajatuksellisina, ajatuksellisissa, ajatuksellisiin
 akateeminen, akateemisen, akateemista, akateemisena, akateemiseen, akateemisten, akateemisia, akateemisina, akateemisissa, akateemisiin
 aksiaalinen, aksiaalisen, aksiaalista, aksiaalisena, aksiaaliseen, aksiaalisten, aksiaalisia, aksiaalisina, aksiaalisissa, aksiaalisiin
 aksiomaattinen, aksiomaattisen, aksiomaattista, aksiomaattisena, aksiomaattiseen, aksiomaattisten, aksiomaattisia, aksiomaattisina, aksiomaattisissa, aksiomaattisiin
 aktiivinen, aktiivisen, aktiivista, aktiivisena, aktiiviseen, aktiivisten, aktiivisia, aktiivisina, aktiivisissa, aktiivisiin
 aktuaalinen, aktuaalisen, aktuaalista, aktuaalisena, aktuaaliseen, aktuaalisten, aktuaalisia, aktuaalisina, aktuaalisissa, aktuaalisiin
 akustinen, akustisen, akustista, akustisena, akustiseen, akustisten, akustisia, akustisina, akustisissa, akustisiin
 alakuloinen, alakuloisen, alakuloista, alakuloisena, alakuloiseen, alakuloisten, alakuloisia, alakuloisina, alakuloisissa, alakuloisiin
 alamainen, alamaisen, alamaista, alamaisena, alamaiseen, alamaisten, alamaisia, alamaisina, alamaisissa, alamaisiin
 alentuva, alentuvan, alentuvaa, alentuvana, alentuvaan, alentuvien, alentuvia, alentuvina, alentuvissa, alentuviin
 alentuvainen, alentuvaisen, alentuvaista, alentuvaisena, alentuvaiseen, alentuvaisten, alentuvaisia, alentuvaisina, alentuvaisissa, alentuvaisiin
 alhainen, alhaisen, alhaista, alhaisena, alhaiseen, alhaisten, alhaisia, alhaisina, alhaisissa, alhaisiin
 alituinen, alituisen, alituista, alituisena, alituiseen, alituisten, alituisia, alituisina, alituisissa, alituisiin
 alkeellinen, alkeellisen, alkeellista, alkeellisena, alkeelliseen, alkeellisten, alkeellisia, alkeellisina, alkeellisissa, alkeellisiin
 allegorinen, allegorisen, allegorista, allegorisena, allegoriseen, allegoristen, allegorisia, allegorisina, allegorisissa, allegorisiin
 altruistinen, altruistisen, altruistista, altruistisena, altruistiseen, altruististen, altruistisia, altruistisina, altruistisissa, altruistisiin
 alueellinen, alueellisen, alueellista, alueellisena, alueelliseen, alueellisten, alueellisia, alueellisina, alueellisissa, alueellisiin
 alustava, alustavan, alustavaa, alustavana, alustavaan, alustavien, alustavia, alustavina, alustavissa, alustaviin
 ammatillinen, ammatillisen, ammatillista, ammatillisena, ammatilliseen, ammatillisten, ammatillisia, ammatillisina, ammatillisissa, ammatillisiin
 anakronistinen, anakronistisen, anakronistista, anakronistisena, anakronistiseen, anakronististen, anakronistisia, anakronistisina, anakronistisissa, anakronistisiin
 analgeettinen, analgeettisen, analgeettista, analgeettisena, analgeettiseen, analgeettisten, analgeettisia, analgeettisina, analgeettisissa, analgeettisiin
 analoginen, analogisen, analogista, analogisena, analogiseen, analogisten, analogisia, analogisina, analogisissa, analogisiin
 analyyttinen, analyyttisen, analyyttista, analyyttisena, analyyttiseen, analyyttisten, analyyttisia, analyyttisina, analyyttisissa, analyyttisiin
 anarkistinen, anarkistisen, anarkistista, anarkistisena, anarkistiseen, anarkististen, anarkistisia, anarkistisina, anarkistisissa, anarkistisiin
 anatominen, anatomisen, anatomista, anatomisena, anatomiseen, anatomisten, anatomisia, anatomisina, anatomisissa, anatomisiin
 androloginen, andrologisen, andrologista, andrologisena, andrologiseen, andrologisten, andrologisia, andrologisina, andrologisissa, andrologisiin
 aneeminen, aneemisen, aneemista, aneemisena, aneemiseen, aneemisten, aneemisia, aneemisina, aneemisissa, aneemisiin
 anestesiologinen, anestesiologisen, anestesiologista, anestesiologisena, anestesiologiseen, anestesiologisten, anestesiologisia, anestesiologisina, anestesiologisissa, anestesiologisiin
 ankara, ankaran, ankaraa, ankarana, ankaraan, ankarien, ankaria, ankarina, ankarissa, ankariin
 ankea, ankean, ankeaa, ankeana, ankeaan, ankeiden, ankeita, ankeina, ankeissa, ankeisiin
 anomaalinen, anomaalisen, anomaalista, anomaalisena, anomaaliseen, anomaalisten, anomaalisia, anomaalisina, anomaalisissa, anomaalisiin
 ansiokas, ansiokkaan, ansiokasta, ansiokkaana, ansiokkaaseen, ansiokkaiden, ansiokkaita, ansiokkaina, ansiokkaissa, ansiokkaisiin
 antaumuksellinen, antaumuksellisen, antaumuksellista, antaumuksellisena, antaumukselliseen, antaumuksellisten, antaumuksellisia, antaumuksellisina, antaumuksellisissa, antaumuksellisiin
 antelias, anteliaan, anteliasta, anteliaana, anteliaaseen, anteliaiden, anteliaita, anteliaina, anteliaissa, anteliaisiin
 antisemiittinen, antisemiittisen, antisemiittista, antisemiittisena, antisemiittiseen, antisemiittisten, antisemiittisia, antisemiittisina, antisemiittisissa, antisemiittisiin
 antoisa, antoisan, antoisaa, antoisana, antoisaan, antoisien, antoisia, antoisina, antoisissa, antoisiin
 antropologinen, antropologisen, antropologista, antropologisena, antropologiseen, antropologisten, antropologisia, antropologisina, antropologisissa, antropologisiin
 apaattinen, apaattisen, apaattista, apaattisena, apaattiseen, apaattisten, apaattisia, apaattisina, apaattisissa, apaattisiin
 apea, apean, apeaa, apeana, apeaan, apeiden, apeita, apeina, apeissa, apeisiin
 apokryfinen, apokryfisen, apokryfista, apokryfisena, apokryfiseen, apokryfisten, apokryfisia, apokryfisina, apokryfisissa, apokryfisiin
 apriorinen, apriorisen, apriorista, apriorisena, aprioriseen, aprioristen, apriorisia, apriorisina, apriorisissa, apriorisiin
 aristokraattinen, aristokraattisen, aristokraattista, aristokraattisena, aristokraattiseen, aristokraattisten, aristokraattisia, aristokraattisina, aristokraattisissa, aristokraattisiin
 arkaistinen, arkaistisen, arkaistista, arkaistisena, arkaistiseen, arkaististen, arkaistisia, arkaistisina, arkaistisissa, arkaistisiin
 arkeologinen, arkeologisen, arkeologista, arkeologisena, arkeologiseen, arkeologisten, arkeologisia, arkeologisina, arkeologisissa, arkeologisiin
 arkinen, arkisen, arkista, arkisena, arkiseen, arkisten, arkisia, arkisina, arkisissa, arkisiin
 arkkitehtoninen, arkkitehtonisen, arkkitehtonista, arkkitehtonisena, arkkitehtoniseen, arkkitehtonisten, arkkitehtonisia, arkkitehtonisina, arkkitehtonisissa, arkkitehtonisiin
 armelias, armeliaan, armeliasta, armeliaana, armeliaaseen, armeliaiden, armeliaita, armeliaina, armeliaissa, armeliaisiin
 armollinen, armollisen, armollista, armollisena, armolliseen, armollisten, armollisia, armollisina, armollisissa, armollisiin
 arveleva, arvelevan, arvelevaa, arvelevana, arvelevaan, arvelevien, arvelevia, arvelevina, arvelevissa, arveleviin
 arveluttava, arveluttavan, arveluttavaa, arveluttavana, arveluttavaan, arveluttavien, arveluttavia, arveluttavina, arveluttavissa, arveluttaviin
 arvoituksellinen, arvoituksellisen, arvoituksellista, arvoituksellisena, arvoitukselliseen, arvoituksellisten, arvoituksellisia, arvoituksellisina, arvoituksellisissa, arvoituksellisiin
 arvokas, arvokkaan, arvokasta, arvokkaana, arvokkaaseen, arvokkaiden, arvokkaita, arvokkaina, arvokkaissa, arvokkaisiin
 arvosteleva, arvostelevan, arvostelevaa, arvostelevana, arvostelevaan, arvostelevien, arvostelevia, arvostelevina, arvostelevissa, arvosteleviin
 asenteellinen, asenteellisen, asenteellista, asenteellisena, asenteelliseen, asenteellisten, asenteellisia, asenteellisina, asenteellisissa, asenteellisiin
 aseptinen, aseptisen, aseptista, aseptisena, aseptiseen, aseptisten, aseptisia, aseptisina, aseptisissa, aseptisiin
 asiallinen, asiallisen, asiallista, asiallisena, asialliseen, asiallisten, asiallisia, asiallisina, asiallisissa, asiallisiin
 asiantunteva, asiantuntevan, asiantuntevaa, asiantuntevana, asiantuntevaan, asiantuntevien, asiantuntevia, asiantuntevina, asiantuntevissa, asiantunteviin
 askeettinen, askeettisen, askeettista, askeettisena, askeettiseen, askeettisten, askeettisia, askeettisina, askeettisissa, askeettisiin
 astrologinen, astrologisen, astrologista, astrologisena, astrologiseen, astrologisten, astrologisia, astrologisina, astrologisissa, astrologisiin
 astronominen, astronomisen, astronomista, astronomisena, astronomiseen, astronomisten, astronomisia, astronomisina, astronomisissa, astronomisiin
 atavistinen, atavistisen, atavistista, atavistisena, atavistiseen, atavististen, atavistisia, atavistisina, atavistisissa, atavistisiin
 ateistinen, ateistisen, ateistista, ateistisena, ateistiseen, ateististen, ateistisia, ateistisina, ateistisissa, ateistisiin
 attraktiivinen, attraktiivisen, attraktiivista, attraktiivisena, attraktiiviseen, attraktiivisten, attraktiivisia, attraktiivisina, attraktiivisissa, attraktiivisiin
 auktoritatiivinen, auktoritatiivisen, auktoritatiivista, auktoritatiivisena, auktoritatiiviseen, auktoritatiivisten, auktoritatiivisia, auktoritatiivisina, auktoritatiivisissa, auktoritatiivisiin
 aurinkoinen, aurinkoisen, aurinkoista, aurinkoisena, aurinkoiseen, aurinkoisten, aurinkoisia, aurinkoisina, aurinkoisissa, aurinkoisiin
 automaattinen, automaattisen, automaattista, automaattisena, automaattiseen, automaattisten, automaattisia, automaattisina, automaattisissa, automaattisiin
 autoritaarinen, autoritaarisen, autoritaarista, autoritaarisena, autoritaariseen, autoritaaristen, autoritaarisia, autoritaarisina, autoritaarisissa, autoritaarisiin
 autoritäärinen, autoritäärisen, autoritäärista, autoritäärisena, autoritääriseen, autoritääristen, autoritäärisia, autoritäärisina, autoritäärisissa, autoritäärisiin
 auttava, auttavan, auttavaa, auttavana, auttavaan, auttavien, auttavia, auttavina, auttavissa, auttaviin
 autuaallinen, autuaallisen, autuaallista, autuaallisena, autuaalliseen, autuaallisten, autuaallisia, autuaallisina, autuaallisissa, autuaallisiin
 autuas, autuaan, autuasta, autuaana, autuaaseen, autuaiden, autuaita, autuaina, autuaissa, autuaisiin
 avulias, avuliaan, avuliasta, avuliaana, avuliaaseen, avuliaiden, avuliaita, avuliaina, avuliaissa, avuliaisiin
 bakteriologinen, bakteriologisen, bakteriologista, bakteriologisena, bakteriologiseen, bakteriologisten, bakteriologisia, bakteriologisina, bakteriologisissa, bakteriologisiin
 banaali, banaalin, banaalia, banaalina, banaaliin, banaaleiden, banaaleita, banaaleina, banaaleissa, banaaleihin
 barbaarinen, barbaarisen, barbaarista, barbaarisena, barbaariseen, barbaaristen, barbaarisia, barbaarisina, barbaarisissa, barbaarisiin
 bilateraalinen, bilateraalisen, bilateraalista, bilateraalisena, bilateraaliseen, bilateraalisten, bilateraalisia, bilateraalisina, bilateraalisissa, bilateraalisiin
 biologinen, biologisen, biologista, biologisena, biologiseen, biologisten, biologisia, biologisina, biologisissa, biologisiin
 bisarri, bisarrin, bisarria, bisarrina, bisarriin, bisarreiden, bisarreita, bisarreina, bisarreissa, bisarreihin
 botaaninen, botaanisen, botaanista, botaanisena, botaaniseen, botaanisten, botaanisia, botaanisina, botaanisissa, botaanisiin
 brežneviläinen, brežneviläisen, brežneviläistä, brežneviläisenä, brežneviläiseen, brežneviläisten, brežneviläisiä, brežneviläisinä, brežneviläisissä, brežneviläisiin
 deduktiivinen, deduktiivisen, deduktiivista, deduktiivisena, deduktiiviseen, deduktiivisten, deduktiivisia, deduktiivisina, deduktiivisissa, deduktiivisiin
 defensiivinen, defensiivisen, defensiivistä, defensiivisenä, defensiiviseen, defensiivisten, defensiivisiä, defensiivisinä, defensiivisissä, defensiivisiin
 definiittinen, definiittisen, definiittistä, definiittisenä, definiittiseen, definiittisten, definiittisiä, definiittisinä, definiittisissä, definiittisiin
 definitiivinen, definitiivisen, definitiivistä, definitiivisenä, definitiiviseen, definitiivisten, definitiivisiä, definitiivisinä, definitiivisissä, definitiivisiin
 dekoratiivinen, dekoratiivisen, dekoratiivista, dekoratiivisena, dekoratiiviseen, dekoratiivisten, dekoratiivisia, dekoratiivisina, dekoratiivisissa, dekoratiivisiin
 demagoginen, demagogisen, demagogista, demagogisena, demagogiseen, demagogisten, demagogisia, demagogisina, demagogisissa, demagogisiin
 demografinen, demografisen, demografista, demografisena, demografiseen, demografisten, demografisia, demografisina, demografisissa, demografisiin
 demokraattinen, demokraattisen, demokraattista, demokraattisena, demokraattiseen, demokraattisten, demokraattisia, demokraattisina, demokraattisissa, demokraattisiin
 demoninen, demonisen, demonista, demonisena, demoniseen, demonisten, demonisia, demonisina, demonisissa, demonisiin
 demonstratiivinen, demonstratiivisen, demonstratiivista, demonstratiivisena, demonstratiiviseen, demonstratiivisten, demonstratiivisia, demonstratiivisina, demonstratiivisissa, demonstratiivisiin
 depressiivinen, depressiivisen, depressiivistä, depressiivisenä, depressiiviseen, depressiivisten, depressiivisiä, depressiivisinä, depressiivisissä, depressiivisiin
 dermatologinen, dermatologisen, dermatologista, dermatologisena, dermatologiseen, dermatologisten, dermatologisia, dermatologisina, dermatologisissa, dermatologisiin
 deskriptiivinen, deskriptiivisen, deskriptiivistä, deskriptiivisenä, deskriptiiviseen, deskriptiivisten, deskriptiivisiä, deskriptiivisinä, deskriptiivisissä, deskriptiivisiin
 despoottinen, despoottisen, despoottista, despoottisena, despoottiseen, despoottisten, despoottisia, despoottisina, despoottisissa, despoottisiin
 deterministinen, deterministisen, determinististä, deterministisenä, deterministiseen, determinististen, deterministisiä, deterministisinä, deterministisissä, deterministisiin
 diagnostinen, diagnostisen, diagnostista, diagnostisena, diagnostiseen, diagnostisten, diagnostisia, diagnostisina, diagnostisissa, diagnostisiin
 dialektinen, dialektisen, dialektista, dialektisena, dialektiseen, dialektisten, dialektisia, dialektisina, dialektisissa, dialektisiin
 didaktinen, didaktisen, didaktista, didaktisena, didaktiseen, didaktisten, didaktisia, didaktisina, didaktisissa, didaktisiin
 digitaalinen, digitaalisen, digitaalista, digitaalisena, digitaaliseen, digitaalisten, digitaalisia, digitaalisina, digitaalisissa, digitaalisiin
 diktatorinen, diktatorisen, diktatorista, diktatorisena, diktatoriseen, diktatoristen, diktatorisia, diktatorisina, diktatorisissa, diktatorisiin
 dogmaattinen, dogmaattisen, dogmaattista, dogmaattisena, dogmaattiseen, dogmaattisten, dogmaattisia, dogmaattisina, dogmaattisissa, dogmaattisiin
 dorka, dorkan, dorkaa, dorkana, dorkaan, dorkien, dorkia, dorkina, dorkissa, dorkiin
 draamallinen, draamallisen, draamallista, draamallisena, draamalliseen, draamallisten, draamallisia, draamallisina, draamallisissa, draamallisiin
 dramaattinen, dramaattisen, dramaattista, dramaattisena, dramaattiseen, dramaattisten, dramaattisia, dramaattisina, dramaattisissa, dramaattisiin
 drastinen, drastisen, drastista, drastisena, drastiseen, drastisten, drastisia, drastisina, drastisissa, drastisiin
 dualistinen, dualistisen, dualistista, dualistisena, dualistiseen, dualististen, dualistisia, dualistisina, dualistisissa, dualistisiin
 dynaaminen, dynaamisen, dynaamista, dynaamisena, dynaamiseen, dynaamisten, dynaamisia, dynaamisina, dynaamisissa, dynaamisiin
 edistyksellinen, edistyksellisen, edistyksellistä, edistyksellisenä, edistykselliseen, edistyksellisten, edistyksellisiä, edistyksellisinä, edistyksellisissä, edistyksellisiin
 edullinen, edullisen, edullista, edullisena, edulliseen, edullisten, edullisia, edullisina, edullisissa, edullisiin
 edustava, edustavan, edustavaa, edustavana, edustavaan, edustavien, edustavia, edustavina, edustavissa, edustaviin
 eettinen, eettisen, eettistä, eettisenä, eettiseen, eettisten, eettisiä, eettisinä, eettisissä, eettisiin
 efektiivinen, efektiivisen, efektiivistä, efektiivisenä, efektiiviseen, efektiivisten, efektiivisiä, efektiivisinä, efektiivisissä, efektiivisiin
 egoistinen, egoistisen, egoistista, egoistisena, egoistiseen, egoististen, egoistisia, egoistisina, egoistisissa, egoistisiin
 egosentrinen, egosentrisen, egosentrista, egosentrisena, egosentriseen, egosentristen, egosentrisia, egosentrisina, egosentrisissa, egosentrisiin
 ehdollinen, ehdollisen, ehdollista, ehdollisena, ehdolliseen, ehdollisten, ehdollisia, ehdollisina, ehdollisissa, ehdollisiin
 eheä, eheän, eheää, eheänä, eheään, eheiden, eheitä, eheinä, eheissä, eheisiin
 ehjä, ehjän, ehjää, ehjänä, ehjään, ehjien, ehjiä, ehjinä, ehjissä, ehjiin
 ehtoinen, ehtoisen, ehtoista, ehtoisena, ehtoiseen, ehtoisten, ehtoisia, ehtoisina, ehtoisissa, ehtoisiin
 ekologinen, ekologisen, ekologista, ekologisena, ekologiseen, ekologisten, ekologisia, ekologisina, ekologisissa, ekologisiin
 ekonometrinen, ekonometrisen, ekonometrista, ekonometrisena, ekonometriseen, ekonometristen, ekonometrisia, ekonometrisina, ekonometrisissa, ekonometrisiin
 ekonominen, ekonomisen, ekonomista, ekonomisena, ekonomiseen, ekonomisten, ekonomisia, ekonomisina, ekonomisissa, ekonomisiin
 eksakti, eksaktin, eksaktia, eksaktina, eksaktiin, eksaktien, eksakteja, eksakteina, eksakteissa, eksakteihin
 eksentrinen, eksentrisen, eksentristä, eksentrisenä, eksentriseen, eksentristen, eksentrisiä, eksentrisinä, eksentrisissä, eksentrisiin
 eksoottinen, eksoottisen, eksoottista, eksoottisena, eksoottiseen, eksoottisten, eksoottisia, eksoottisina, eksoottisissa, eksoottisiin
 ekspansiivinen, ekspansiivisen, ekspansiivista, ekspansiivisena, ekspansiiviseen, ekspansiivisten, ekspansiivisia, ekspansiivisina, ekspansiivisissa, ekspansiivisiin
 eksplisiittinen, eksplisiittisen, eksplisiittistä, eksplisiittisenä, eksplisiittiseen, eksplisiittisten, eksplisiittisiä, eksplisiittisinä, eksplisiittisissä, eksplisiittisiin
 eksponentiaalinen, eksponentiaalisen, eksponentiaalista, eksponentiaalisena, eksponentiaaliseen, eksponentiaalisten, eksponentiaalisia, eksponentiaalisina, eksponentiaalisissa, eksponentiaalisiin
 ekspressiivinen, ekspressiivisen, ekspressiivistä, ekspressiivisenä, ekspressiiviseen, ekspressiivisten, ekspressiivisiä, ekspressiivisinä, ekspressiivisissä, ekspressiivisiin
 ekstaattinen, ekstaattisen, ekstaattista, ekstaattisena, ekstaattiseen, ekstaattisten, ekstaattisia, ekstaattisina, ekstaattisissa, ekstaattisiin
 ekumeeninen, ekumeenisen, ekumeenista, ekumeenisena, ekumeeniseen, ekumeenisten, ekumeenisia, ekumeenisina, ekumeenisissa, ekumeenisiin
 elastinen, elastisen, elastista, elastisena, elastiseen, elastisten, elastisia, elastisina, elastisissa, elastisiin
 eleginen, elegisen, elegistä, elegisenä, elegiseen, elegisten, elegisiä, elegisinä, elegisissä, elegisiin
 eleinen, eleisen, eleistä, eleisenä, eleiseen, eleisten, eleisiä, eleisinä, eleisissä, eleisiin
 elektrolyyttinen, elektrolyyttisen, elektrolyyttista, elektrolyyttisena, elektrolyyttiseen, elektrolyyttisten, elektrolyyttisia, elektrolyyttisina, elektrolyyttisissa, elektrolyyttisiin
 elektroninen, elektronisen, elektronista, elektronisena, elektroniseen, elektronisten, elektronisia, elektronisina, elektronisissa, elektronisiin
 elementaarinen, elementaarisen, elementaarista, elementaarisena, elementaariseen, elementaaristen, elementaarisia, elementaarisina, elementaarisissa, elementaarisiin
 elimellinen, elimellisen, elimellistä, elimellisenä, elimelliseen, elimellisten, elimellisiä, elimellisinä, elimellisissä, elimellisiin
 eloisa, eloisan, eloisaa, eloisana, eloisaan, eloisien, eloisia, eloisina, eloisissa, eloisiin
 eläimellinen, eläimellisen, eläimellistä, eläimellisenä, eläimelliseen, eläimellisten, eläimellisiä, eläimellisinä, eläimellisissä, eläimellisiin
 elämyksellinen, elämyksellisen, elämyksellistä, elämyksellisenä, elämykselliseen, elämyksellisten, elämyksellisiä, elämyksellisinä, elämyksellisissä, elämyksellisiin
 elämänkatsomuksellinen, elämänkatsomuksellisen, elämänkatsomuksellista, elämänkatsomuksellisena, elämänkatsomukselliseen, elämänkatsomuksellisten, elämänkatsomuksellisia, elämänkatsomuksellisina, elämänkatsomuksellisissa, elämänkatsomuksellisiin
 elävä, elävän, elävää, elävänä, elävään, elävien, eläviä, elävinä, elävissä, eläviin
 embryologinen, embryologisen, embryologista, embryologisena, embryologiseen, embryologisten, embryologisia, embryologisina, embryologisissa, embryologisiin
 emotionaalinen, emotionaalisen, emotionaalista, emotionaalisena, emotionaaliseen, emotionaalisten, emotionaalisia, emotionaalisina, emotionaalisissa, emotionaalisiin
 empaattinen, empaattisen, empaattista, empaattisena, empaattiseen, empaattisten, empaattisia, empaattisina, empaattisissa, empaattisiin
 empiirinen, empiirisen, empiiristä, empiirisenä, empiiriseen, empiiristen, empiirisiä, empiirisinä, empiirisissä, empiirisiin
 emäksinen, emäksisen, emäksistä, emäksisenä, emäksiseen, emäksisten, emäksisiä, emäksisinä, emäksisissä, emäksisiin
 endeeminen, endeemisen, endeemistä, endeemisenä, endeemiseen, endeemisten, endeemisiä, endeemisinä, endeemisissä, endeemisiin
 endokrinologinen, endokrinologisen, endokrinologista, endokrinologisena, endokrinologiseen, endokrinologisten, endokrinologisia, endokrinologisina, endokrinologisissa, endokrinologisiin
 enenevä, enenevän, enenevää, enenevänä, enenevään, enenevien, eneneviä, enenevinä, enenevissä, eneneviin
 energinen, energisen, energistä, energisenä, energiseen, energisten, energisiä, energisinä, energisissä, energisiin
 ennätyksellinen, ennätyksellisen, ennätyksellistä, ennätyksellisenä, ennätykselliseen, ennätyksellisten, ennätyksellisiä, ennätyksellisinä, ennätyksellisissä, ennätyksellisiin
 ennätysmäinen, ennätysmäisen, ennätysmäistä, ennätysmäisenä, ennätysmäiseen, ennätysmäisten, ennätysmäisiä, ennätysmäisinä, ennätysmäisissä, ennätysmäisiin
 enteellinen, enteellisen, enteellistä, enteellisenä, enteelliseen, enteellisten, enteellisiä, enteellisinä, enteellisissä, enteellisiin
 epidemiologinen, epidemiologisen, epidemiologista, epidemiologisena, epidemiologiseen, epidemiologisten, epidemiologisia, epidemiologisina, epidemiologisissa, epidemiologisiin
 epäilevä, epäilevän, epäilevää, epäilevänä, epäilevään, epäilevien, epäileviä, epäilevinä, epäilevissä, epäileviin
 epäilyttävä, epäilyttävän, epäilyttävää, epäilyttävänä, epäilyttävään, epäilyttävien, epäilyttäviä, epäilyttävinä, epäilyttävissä, epäilyttäviin
 epäsopuinen, epäsopuisen, epäsopuista, epäsopuisena, epäsopuiseen, epäsopuisten, epäsopuisia, epäsopuisina, epäsopuisissa, epäsopuisiin
 epätoivoinen, epätoivoisen, epätoivoista, epätoivoisena, epätoivoiseen, epätoivoisten, epätoivoisia, epätoivoisina, epätoivoisissa, epätoivoisiin
 epäurheilijamainen, epäurheilijamaisen, epäurheilijamaista, epäurheilijamaisena, epäurheilijamaiseen, epäurheilijamaisten, epäurheilijamaisia, epäurheilijamaisina, epäurheilijamaisissa, epäurheilijamaisiin
 epävakainen, epävakaisen, epävakaista, epävakaisena, epävakaiseen, epävakaisten, epävakaisia, epävakaisina, epävakaisissa, epävakaisiin
 ergonominen, ergonomisen, ergonomista, ergonomisena, ergonomiseen, ergonomisten, ergonomisia, ergonomisina, ergonomisissa, ergonomisiin
 erheellinen, erheellisen, erheellistä, erheellisenä, erheelliseen, erheellisten, erheellisiä, erheellisinä, erheellisissä, erheellisiin
 erikoinen, erikoisen, erikoista, erikoisena, erikoiseen, erikoisten, erikoisia, erikoisina, erikoisissa, erikoisiin
 erinomainen, erinomaisen, erinomaista, erinomaisena, erinomaiseen, erinomaisten, erinomaisia, erinomaisina, erinomaisissa, erinomaisiin
 eripurainen, eripuraisen, eripuraista, eripuraisena, eripuraiseen, eripuraisten, eripuraisia, eripuraisina, eripuraisissa, eripuraisiin
 erityinen, erityisen, erityistä, erityisenä, erityiseen, erityisten, erityisiä, erityisinä, erityisissä, erityisiin
 eroottinen, eroottisen, eroottista, eroottisena, eroottiseen, eroottisten, eroottisia, eroottisina, eroottisissa, eroottisiin
 esteettinen, esteettisen, esteettistä, esteettisenä, esteettiseen, esteettisten, esteettisiä, esteettisinä, esteettisissä, esteettisiin
 eteerinen, eteerisen, eteeristä, eteerisenä, eteeriseen, eteeristen, eteerisiä, eteerisinä, eteerisissä, eteerisiin
 etevä, etevän, etevää, etevänä, etevään, etevien, eteviä, etevinä, etevissä, eteviin
 etiologinen, etiologisen, etiologista, etiologisena, etiologiseen, etiologisten, etiologisia, etiologisina, etiologisissa, etiologisiin
 etninen, etnisen, etnistä, etnisenä, etniseen, etnisten, etnisiä, etnisinä, etnisissä, etnisiin
 etnografinen, etnografisen, etnografista, etnografisena, etnografiseen, etnografisten, etnografisia, etnografisina, etnografisissa, etnografisiin
 etnologinen, etnologisen, etnologista, etnologisena, etnologiseen, etnologisten, etnologisia, etnologisina, etnologisissa, etnologisiin
