aakkosellinen, aakkosellisen, aakkosellista, aakkosellisena, aakkoselliseen, aakkosellisten, aakkosellisia, aakkosellisina, aakkosellisissa, aakkosellisiin
 järeä, järeän, järeää, järeänä, järeään, järeiden, järeitä, järeinä, järeissä, järeisiin
 järjellinen, järjellisen, järjellistä, järjellisenä, järjelliseen, järjellisten, järjellisiä, järjellisinä, järjellisissä, järjellisiin
 järjestelmällinen, järjestelmällisen, järjestelmällistä, järjestelmällisenä, järjestelmälliseen, järjestelmällisten, järjestelmällisiä, järjestelmällisinä, järjestelmällisissä, järjestelmällisiin
 järkevä, järkevän, järkevää, järkevänä, järkevään, järkevien, järkeviä, järkevinä, järkevissä, järkeviin
 järkyttävä, järkyttävän, järkyttävää, järkyttävänä, järkyttävään, järkyttävien, järkyttäviä, järkyttävinä, järkyttävissä, järkyttäviin
 jäyhä, jäyhän, jäyhää, jäyhänä, jäyhään, jäyhien, jäyhiä, jäyhinä, jäyhissä, jäyhiin
 jäätävä, jäätävän, jäätävää, jäätävänä, jäätävään, jäätävien, jäätäviä, jäätävinä, jäätävissä, jäätäviin
 kaamea, kaamean, kaameaa, kaameana, kaameaan, kaameiden, kaameita, kaameina, kaameissa, kaameisiin
 kaareva, kaarevan, kaarevaa, kaarevana, kaarevaan, kaarevien, kaarevia, kaarevina, kaarevissa, kaareviin
 kaihoisa, kaihoisan, kaihoisaa, kaihoisana, kaihoisaan, kaihoisien, kaihoisia, kaihoisina, kaihoisissa, kaihoisiin
 kaino, kainon, kainoa, kainona, kainoon, kainojen, kainoja, kainoina, kainoissa, kainoihin
 kalsea, kalsean, kalseaa, kalseana, kalseaan, kalseiden, kalseita, kalseina, kalseissa, kalseisiin
 kamala, kamalan, kamalaa, kamalana, kamalaan, kamalien, kamalia, kamalina, kamalissa, kamaliin
 kammottava, kammottavan, kammottavaa, kammottavana, kammottavaan, kammottavien, kammottavia, kammottavina, kammottavissa, kammottaviin
 kankea, kankean, kankeaa, kankeana, kankeaan, kankeiden, kankeita, kankeina, kankeissa, kankeisiin
 kansallinen, kansallisen, kansallista, kansallisena, kansalliseen, kansallisten, kansallisia, kansallisina, kansallisissa, kansallisiin
 kaoottinen, kaoottisen, kaoottista, kaoottisena, kaoottiseen, kaoottisten, kaoottisia, kaoottisina, kaoottisissa, kaoottisiin
 kapea, kapean, kapeaa, kapeana, kapeaan, kapeiden, kapeita, kapeina, kapeissa, kapeisiin
 kapillaarinen, kapillaarisen, kapillaarista, kapillaarisena, kapillaariseen, kapillaaristen, kapillaarisia, kapillaarisina, kapillaarisissa, kapillaarisiin
 karhea, karhean, karheaa, karheana, karheaan, karheiden, karheita, karheina, karheissa, karheisiin
 karkea, karkean, karkeaa, karkeana, karkeaan, karkeiden, karkeita, karkeina, karkeissa, karkeisiin
 karmea, karmean, karmeaa, karmeana, karmeaan, karmeiden, karmeita, karmeina, karmeissa, karmeisiin
 karsas, karsaan, karsasta, karsaana, karsaaseen, karsaiden, karsaita, karsaina, karsaissa, karsaisiin
 karski, karskin, karskia, karskina, karskiin, karskien, karskeja, karskeina, karskeissa, karskeihin
 kartografinen, kartografisen, kartografista, kartografisena, kartografiseen, kartografisten, kartografisia, kartografisina, kartografisissa, kartografisiin
 karu, karun, karua, karuna, karuun, karujen, karuja, karuina, karuissa, karuihin
 karvas, karvaan, karvasta, karvaana, karvaaseen, karvaiden, karvaita, karvaina, karvaissa, karvaisiin
 katala, katalan, katalaa, katalana, katalaan, katalien, katalia, katalina, katalissa, kataliin
 kategorinen, kategorisen, kategorista, kategorisena, kategoriseen, kategoristen, kategorisia, kategorisina, kategorisissa, kategorisiin
 katkera, katkeran, katkeraa, katkerana, katkeraan, katkerien, katkeria, katkerina, katkerissa, katkeriin
 kauhea, kauhean, kauheaa, kauheana, kauheaan, kauheiden, kauheita, kauheina, kauheissa, kauheisiin
 kaunis, kauniin, kaunista, kauniina, kauniiseen, kauniiden, kauniita, kauniina, kauniissa, kauniisiin
 kaupallinen, kaupallisen, kaupallista, kaupallisena, kaupalliseen, kaupallisten, kaupallisia, kaupallisina, kaupallisissa, kaupallisiin
 kavala, kavalan, kavalaa, kavalana, kavalaan, kavalien, kavalia, kavalina, kavalissa, kavaliin
 kehno, kehnon, kehnoa, kehnona, kehnoon, kehnojen, kehnoja, kehnoina, kehnoissa, kehnoihin
 kehuttava, kehuttavan, kehuttavaa, kehuttavana, kehuttavaan, kehuttavien, kehuttavia, kehuttavina, kehuttavissa, kehuttaviin
 kekseliäs, kekseliään, kekseliästä, kekseliäänä, kekseliääseen, kekseliäiden, kekseliäitä, kekseliäinä, kekseliäissä, kekseliäisiin
 kelju, keljun, keljua, keljuna, keljuun, keljujen, keljuja, keljuina, keljuissa, keljuihin
 kelvollinen, kelvollisen, kelvollista, kelvollisena, kelvolliseen, kelvollisten, kelvollisia, kelvollisina, kelvollisissa, kelvollisiin
 kemiallinen, kemiallisen, kemiallista, kemiallisena, kemialliseen, kemiallisten, kemiallisia, kemiallisina, kemiallisissa, kemiallisiin
 kepeä, kepeän, kepeää, kepeänä, kepeään, kepeiden, kepeitä, kepeinä, kepeissä, kepeisiin
 kepuli, kepulin, kepulia, kepulina, kepuliin, kepuleiden, kepuleita, kepuleina, kepuleissa, kepuleihin
 kerkeä, kerkeän, kerkeää, kerkeänä, kerkeään, kerkeiden, kerkeitä, kerkeinä, kerkeissä, kerkeisiin
 kertainen, kertaisen, kertaista, kertaisena, kertaiseen, kertaisten, kertaisia, kertaisina, kertaisissa, kertaisiin
 kertakaikkinen, kertakaikkisen, kertakaikkista, kertakaikkisena, kertakaikkiseen, kertakaikkisten, kertakaikkisia, kertakaikkisina, kertakaikkisissa, kertakaikkisiin
 keskeinen, keskeisen, keskeistä, keskeisenä, keskeiseen, keskeisten, keskeisiä, keskeisinä, keskeisissä, keskeisiin
 keskinäinen, keskinäisen, keskinäistä, keskinäisenä, keskinäiseen, keskinäisten, keskinäisiä, keskinäisinä, keskinäisissä, keskinäisiin
 keskipakoinen, keskipakoisen, keskipakoista, keskipakoisena, keskipakoiseen, keskipakoisten, keskipakoisia, keskipakoisina, keskipakoisissa, keskipakoisiin
 kestävä, kestävän, kestävää, kestävänä, kestävään, kestävien, kestäviä, kestävinä, kestävissä, kestäviin
 kesy, kesyn, kesyä, kesynä, kesyyn, kesyjen, kesyjä, kesyinä, kesyissä, kesyihin
